  version number of analysis code =  14
 timestep dt in seconds =   .1000000E-15
 # emin for stop =   6
 decrit =   .1500000E+00

 mass metal atom in a.m.u. =   196.9660

  EOR found on XDATCAR at ntimes = 1203
  ntimesa = 1203
  detb = 30.6261662733299254
 Z layer 1 =  20.3695

 Z layer 2 =  17.8504

 Z layer 3 =  15.4760

 Z layer 4 =  13.0000

 Z12 =   2.5191

 Z23 =   2.3744

 Z34 =   2.4760

 temp, average ekin =   249.910535      .387655
 
 nt   temp      ekin       ekinh      zH         xH         yH        z1        z12
  186   133.0199    .206337   5.81282    .37929   7.00038   4.41510  20.32031   2.44732
  187   133.4200    .206958   5.93763    .35791   7.02473   4.40641  20.32032   2.44729
  188   133.7654    .207494   6.05327    .33672   7.04959   4.39740  20.32033   2.44726
  189   134.1001    .208013   6.15830    .31569   7.07490   4.38811  20.32034   2.44723
  190   134.4439    .208546   6.25179    .29479   7.10061   4.37857  20.32035   2.44721
  191   134.7200    .208974   6.33325    .27402   7.12667   4.36883  20.32036   2.44718
  192   134.9515    .209333   6.40261    .25335   7.15301   4.35892  20.32037   2.44715
  193   135.1913    .209705   6.46008    .23277   7.17961   4.34886  20.32038   2.44712
  194   135.3961    .210023   6.50606    .21227   7.20641   4.33870  20.32038   2.44709
  195   135.5646    .210284   6.54121    .19185   7.23338   4.32845  20.32039   2.44706
  196   135.7300    .210541   6.56626    .17150   7.26048   4.31813  20.32040   2.44703
  197   135.8937    .210795   6.58187    .15121   7.28768   4.30776  20.32041   2.44701
  198   135.9932    .210949   6.58880    .13099   7.31496   4.29737  20.32042   2.44698
  199   136.1141    .211137   6.58781    .11082   7.34228   4.28696  20.32043   2.44695
  200   136.2278    .211313   6.57955    .09071   7.36963   4.27655  20.32043   2.44692
  201   136.2916    .211412   6.56472    .07065   7.39698   4.26615  20.32044   2.44689
  202   136.3895    .211564   6.54391    .05065   7.42432   4.25577  20.32045   2.44686
  203   136.4946    .211727   6.51766    .03070   7.45162   4.24541  20.32046   2.44683
  204   136.5806    .211860   6.48660    .01079   7.47886   4.23509  20.32047   2.44681
