  version number of analysis code =  14
 timestep dt in seconds =   .1000000E-15
 # emin for stop =   6
 decrit =   .1500000E+00

 mass metal atom in a.m.u. =   196.9660

  EOR found on XDATCAR at ntimes = 1206
  ntimesa = 1206
  detb = 30.6261662733299254
 Z layer 1 =  20.2474

 Z layer 2 =  17.8206

 Z layer 3 =  15.3822

 Z layer 4 =  13.0000

 Z12 =   2.4269

 Z23 =   2.4383

 Z34 =   2.3822

 temp, average ekin =   254.551263      .394854
 
 nt   temp      ekin       ekinh      zH         xH         yH        z1        z12
  279   153.9320    .238776   6.10573  -2.82105   6.18629   1.52501  20.23157   2.43226
  280   153.9640    .238825   6.12359  -2.85208   6.17261   1.52957  20.23159   2.43230
  281   153.9779    .238847   6.13909  -2.88314   6.15892   1.53420  20.23161   2.43234
  282   153.9565    .238813   6.15229  -2.91425   6.14524   1.53890  20.23163   2.43239
  283   154.0007    .238882   6.16320  -2.94539   6.13158   1.54366  20.23165   2.43243
  284   154.0609    .238975   6.17205  -2.97656   6.11796   1.54848  20.23167   2.43247
  285   154.0787    .239003   6.17875  -3.00777   6.10437   1.55335  20.23169   2.43251
  286   154.1289    .239081   6.18324  -3.03901   6.09083   1.55828  20.23171   2.43255
  287   154.1859    .239169   6.18547  -3.07027   6.07734   1.56325  20.23173   2.43259
  288   154.2360    .239247   6.18511  -3.10155   6.06391   1.56828  20.23176   2.43264
  289   154.2732    .239305   6.18187  -3.13285   6.05054   1.57334  20.23178   2.43268
  290   154.3362    .239402   6.17530  -3.16416   6.03724   1.57845  20.23180   2.43272
  291   154.4179    .239529   6.16479  -3.19546   6.02400   1.58360  20.23182   2.43276
  292   154.4977    .239653   6.14965  -3.22674   6.01082   1.58878  20.23184   2.43280
  293   154.5813    .239783   6.12895  -3.25799   5.99771   1.59400  20.23186   2.43284
  294   154.6767    .239931   6.10157  -3.28918   5.98466   1.59925  20.23188   2.43288
  295   154.7882    .240104   6.06630  -3.32030   5.97167   1.60453  20.23191   2.43292
  296   154.8690    .240229   6.02170  -3.35132   5.95873   1.60984  20.23193   2.43296
  297   155.0116    .240450   5.96610  -3.38220   5.94584   1.61517  20.23195   2.43300
  298   155.1909    .240728   5.89767  -3.41290   5.93299   1.62052  20.23197   2.43304
  299   155.3312    .240946   5.81449  -3.44337   5.92017   1.62589  20.23199   2.43308
  300   155.4902    .241193   5.71466  -3.47356   5.90737   1.63128  20.23201   2.43312
